"incl.cut1.val","incl.cut0.val","n.cut","Configurations"
0.965009516570717,0.74034208804369,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.214189636521041,0.0244596493430436,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.474180961959064,0.323983556358144,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.674347524764016,0.51249739760533,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.952962501905859,0.379370573209599,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.959874984808266,0.761683620978147,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.670022686012089,0.210600461112335,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.990053937770426,0.87202617013827,"Frequency Threshold = 1","CONF*REG"
0.992124048061669,0.893239001510665,"Frequency Threshold = 1","CONF*REG"
0.655658239265904,0.541919321520254,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.92475587897934,0.82970854989253,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.864144630497321,0.588133562589064,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.238583303056657,0.0877238404937088,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.84390605520457,0.581468913704157,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.905778612475842,0.605128268012777,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.338929594494402,0.136575282551348,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.666202653665096,0.218835350126028,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.806125539587811,0.708206486189738,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.78689560550265,0.138594854623079,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.754985489416867,0.601188235683367,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.632642174139619,0.471163826994598,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.500068945810199,0.418659332441166,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.717260358855128,0.637068042997271,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.94038433698006,0.354739826871082,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.733821735717356,0.279159845551476,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.671124192653224,0.516386801376939,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.838166470406577,0.656523427227512,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.949385476531461,0.602584801381454,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.405507499119267,0.404239072697237,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.969201883999631,0.772093965206295,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.188873754581437,0.00346494861878455,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.790434055030346,0.155426919227466,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.652247175108641,0.441810329677537,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.931300096213818,0.925607370678335,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.797906096791849,0.101407715817913,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.991007453529164,0.0255470047704875,"Frequency Threshold = 1","CONF*REG"
0.793940420262516,0.374817763455212,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.946328246733174,0.500216288724914,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.921309935161844,0.511188493575901,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.919988099718466,0.330251851817593,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.869854549178854,0.286428680410609,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.173148156376556,0.146490391111001,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.920698582893237,0.268246430205181,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.450260085519403,0.0537010421976447,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.32991142035462,0.185738189611584,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.175075769657269,0.0237176897935569,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.991025698138401,0.691850225441158,"Frequency Threshold = 1","CONF*REG"
0.891364759067073,0.686821368988603,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.871096491115168,0.140648586209863,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.913606583839282,0.649985633557662,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.999416484730318,0.92323757102713,"Frequency Threshold = 1","CONF*REG"
0.652993726078421,0.0289731223601848,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.990119162248448,0.126185838133097,"Frequency Threshold = 1","CONF*REG"
0.294955843593925,0.171389400726184,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.486606318503618,0.0891424787696451,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.785752503667027,0.731888765702024,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.930540925823152,0.219593518646434,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.982836960582063,0.367016976000741,"Frequency Threshold = 1","CONF*REG"
0.815226077800617,0.5978735210374,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.900888556381688,0.787445227615535,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.802647248841822,0.657291484763846,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.882198342587799,0.268604950746521,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
